,text,label
788,". Çok çalışırdı annem. Koca evin temizliği, yemeği, bizim bakımımız onun üstündeydi. Babamın kazancını bilmem ama [PET_BOUNDARY]eli sıkıydı[PET_BOUNDARY] iyice. Evimizdeki tek kitap, parça parça açılıp uzayan bir uçak resimleri kitabıydı. Etrafımız arsa doluydu.",1
354,değildir. beklersiniz öylece işte. (bkz: sevgilinin giderken bıraktığı şeyler) ya iki taraf da karşısındakinin [PET_BOUNDARY]fındık kıracağını[PET_BOUNDARY] bilecek ve mezhebi geniş ilişkiyi yürütecek ya da hiç başlanmayacak. uzun mesafelerin başka seçeneği yoktur.,1
318,"olacak veremin halk arasındaki bir adı da ""İnce Maraz""dır. Ne hazindir ki Ocaklı'ya doktorlar,günümüzün bir başka [PET_BOUNDARY]amansız hastalığı[PET_BOUNDARY] olan Kanser teşhisini koydular ve bir yılı aşkın süre bu hastalıkla mücadele etmek durumunda kaldı. Şakacı bir",0
65,"Nilüfer’in uzun zamandır alzheimer hastası olan annesi Zeynep Lütfiye Yumlu, 97 yaşında [PET_BOUNDARY]hayata gözlerini yumdu[PET_BOUNDARY]. Anne Yumlu’nun cenazesi bugün Çengelköy ’deki Kerem Aydınlar Camii’nde öğle namazına müteakiben kılınacak cenaze namazının ardından Edirnekapı Mezarlığı’nda toprağa verilecek. Önceki gün Vodafone FreeZone’un düzenlediği 17. Liselerarası Müzik Yarışması’nın final gecesi sahneye çıkacağı açıklanan Nilüfer annesinin vefatından dolayı törene katılamadı.",1
263,"26942        Alkol, uyuşturucu veya uyarıcı [PET_BOUNDARY]madde[PET_BOUNDARY] kullanım bozukluğu ya da bağımlılığı olan kişilerde remisyon ölçütleri karşılanana kadar sürücü belgesinin en az 6 ay süreyle geri alınmasına karar verilir.",1
295,"968146        Yeşilay Beykoz Şube Başkanı Necla Sümer: “Yeşilay Haftası’nda gençlere, [PET_BOUNDARY]madde[PET_BOUNDARY] kullanımının zararlarını anlatmak için tiyatroyu seçtik.",1
917,hazır olacağım. En derin haller ve koşulsuz sekse doğrudan ulaşma fikri sayesinde de bedensel anlamda sizler beni [PET_BOUNDARY]tahrik ettikçe[PET_BOUNDARY] ben de aynısını yaparım. Yavaş'tan Şanlıurfa'ya müjde ANKARA CiddiGazete- Şanlıurfalı 13 yaşındaki hentbolcu,1
223,"Polis ekipleri, istihbarat çalışması sonucu İran uyruklu M.K. ve R.H' nin uyuşturucu ticareti yapmak üzere İran'dan yasa dışı yollardan Türkiye'ye giriş yaptığını ve İstanbul'a gideceklerini belirledi. Zanlıların bulunduğu Van'dan İstanbul'a giden otobüsü çevre yolunda durduran polis, yaptığı aramada zanlılara ait bir valiz ve mini fırın içinde zulalanmış halde 5 kilo 724 gram [PET_BOUNDARY]saf[PET_BOUNDARY] kristal eroin buldu. Zanlılar gözaltına alındı.",0
43,"Kalp rahatsızlığı nedeniyle uzun süre tedavi gören 27 yaşındaki Gülen Yerlikaya'nın bu sabaha karşı [PET_BOUNDARY]hayata gözlerini yumduğu[PET_BOUNDARY] öğrenildi. Gülen Yerlikaya'nın cenazesi, İstanbul Bağlarbaşı'daki Marmara Üniversitesi İlahiyat Fakültesi Camii'nde, ikindi namazını müteakip kılınacak cenaze namazının ardından, Küçükbakkalköy'de toprağa verilecek.",1
498,"uygulanır. Çocuğu olmayan kadınlara Amasya'da uygulanan ""Satma Ritüeli"" bu türbede de uygulanır. Öksürük için, [PET_BOUNDARY]ince hastalık[PET_BOUNDARY] için gelenler türbe ziyaretinden sonra türbe dışında bulunan Dede Pınarı suyundan içerler. Adaklar çoğunlukla",1
298,823143        Son yıllarda özellikle gençlerin esrar ya da benzeri [PET_BOUNDARY]madde[PET_BOUNDARY] kullanımı da ruhsal hastalıkları tetiklemektedir.,1
