,text,label
243,"KÜLTÜR SANAT Türkiye’de bir ilki gerçekleştirerek aynı anda [PET_BOUNDARY]engelli[PET_BOUNDARY] engelsiz tüm sinema severleri aynı seansta buluşturabilen SineBU, festivalin 6 kısa filmi GETEM işbirliği ile sesli betimlemeli, ayrıntılı alt yazılı ve işaret dili tercümesi yapılmış haliyle bugün saat 14:00  -  16:30 seanslarında Boğaziçi Üniversitesi SineBu Sinemaları’nda gösterilecek. Etiketler: ABD , Roma , bugün , Paris , sinema , Londra , İstanbul , New York , Boğaziçi Üniversitesi",1
560,"Kemal Eczacısbaşı’nın eşi, bir çocuk annesi, İskeçe doğumlu Zerrin Eczacıbaşı (87) İzmir’deki evinde [PET_BOUNDARY]vefat etti[PET_BOUNDARY]. Yaşlılığa bağlı sağlık sorunları yaşadığı belirtilen Zerrin Eczacıbaşı’nın vefatı başta kızı Filiz Eczacıbaşı Sarper olmak üzere ailesi ve sevenleri üzdü. Zerrin Eczacıbaşı’nın cenazesi pazartesi günü öğle namazının ardından Alsancak Hocazade Camii’nden kaldırılacak.",1
153,"""People"" dergisine açıklama yapan çift, harika geçen evlilik törenlerinde aileleri ve arkadaşlarıyla bir arada bulunmanın özel olduğunu belirtti. Birkaç yıldır [PET_BOUNDARY]birlikte olan[PET_BOUNDARY] çiftin, İtalya'nın güneyinde dünya evine girdikleri belirtildi. 31 yaşındaki Justin Timberlake ve 30 yaşındaki Jessica Biel, geçen aralık ayında nişanlanmıştı. (CNN Türk)",0
742,"yasal değildir ve risklidir. Kürtaj, aynı zamanda tarama testlerinin fetüsün anormal olduğunu gösterdiğinde [PET_BOUNDARY]hamileliği sonlandırmak[PET_BOUNDARY] için de kullanılır. Terapötik düşük, annenin sağlığı risk altında olduğunda önerilen kürtaj anlamına gelir.",1
414,"Nazmiye Demirel'in kardeşi Yılmaz Şener'in  (69) oğlu Mesut Şener babasının Çeşme'de tatilde olduğu sırada kalp krizi geçirdiğini ve hastanede hayatını [PET_BOUNDARY]kaybettiğini[PET_BOUNDARY] belirtti. Cenazeyi almak için Çeşme'ye gittiğini söyleyen Şener, akşam üzeri cenazeyi Isparta'ya getireceklerini, yarın İslamköy'de aile mezarlığında toprağa vereceklerini bildirdi. Cenaze törenine Süleyman Demirel'in de katılması bekleniyor.",1
151,"Olay, Buca 921 Sokak'taki evde meydana geldi. Emekli A.İ., bir süredir [PET_BOUNDARY]birlikte olduğu[PET_BOUNDARY] Nermin Akçay ile henüz bilinmeyen bir nedenle tartışmaya başladı. Tartışmanın kavgaya dönmesi üzerine A.İ. iddiaya göre, Akçay'ı bıçaklayıp evden ayrıldı. Bugün sabah saatlerinde Karabağlar Polis Merkezi'ne giden A.İ. polise teslim oldu. Gözaltına alınan A.İ.'nin olayı anlatması üzerine eve giden polis, kadının cansız bedenini buldu. Olayla ilgili başlatılan soruşturma sürüyor.",0
554,"TBMM 13. dönem Çanakkale milletvekillerinden Muammer Baykan (91) [PET_BOUNDARY]vefat etti[PET_BOUNDARY]. 1954 - 1956 yılları arasında Basın Yayın ve Turizm Umum Müdürlüğü de yapan Baykan, tedavi gördüğü Bayındır Hastanesinde yaşamını yitirdi. Evli ve 2 çocuk babası Baykan, 13. dönem Çanakkale milletvekilli olarak parlamentoda görev yaptı. Baykan'ın naaşı, perşembe günü TBMM'de düzenlenecek törenin ardından Karşıyaka Camisi'nde ikindi vakti kılınacak cenaze namazını müteakip, Karşıya Mezarlığı'nda toprağa verilecek.",1
1007,"emrinize amadeyim. Ben erkeklerin neler istediklerini biliyorum ve 3 yıldır sektörde çalışıyorum. Profesyonel [PET_BOUNDARY]seks işçisi[PET_BOUNDARY] olarak resmen hayalleri gerçeğe çeviriyorum. Ateşliyim, güzelim ve gün aşırı kendime bakım yapıyorum. Tahrik",1
425,"11. Cumhurbaşkanı Abdullah Gül, Ankara'daki terör saldırısı için Twitter hesabı üzerinden bir açıklama yaptı. ""Ankara'daki hain terör saldırısını lanetliyorum. Aziz milletimize başsağlığı diliyorum"" diyen Gül, ""Hayatını [PET_BOUNDARY]kaybedenlere[PET_BOUNDARY] Allah'tan rahmet, yakınlarına başsağlığı ve yaralılara acil şifalar diliyorum"" ifadelerini kullandı ve 'birarada durma' çağrısı yaptı. Gül, ""Görüşü ve düşüncesi ne olursa olsun, herkesi teröre karşı tavizsiz bir şekilde birarada durmaya davet ediyorum"" dedi.",1
824,". Yerlerde ölü koalalar var. Anneleri yavrularıyla öldürdüler. Avustralya utanç duymalı"" dedi. Koalalardan 30'u [PET_BOUNDARY]uyutuldu[PET_BOUNDARY] Cuma günü bölgeye giden ekipler, çok sayıda hayvanın öldürüldüğüne tanık oldu. Muayene edilen 80 hayvandan 30'u",1
