,text,label
577,"The real @ @ @ @ @ @ @ @ @ @ by the death throe thrashings of an outmoded industry (publishing ), and irrelevant fields of study ( economics ), is how to manage the transition to knowledge 2. Where the concept of writing a paper ( or [PET_BOUNDARY]perish[PET_BOUNDARY]) to be published in a paper based journal, is as old fashioned as the whalebone corset.... ",0
817,"Besides, the decision to [PET_BOUNDARY]pull the plug[PET_BOUNDARY] on Google's mapping database at the end of what was probably a five-year contract had to have been made while Jobs was running the company.",0
281,"""Well, I guess that's just a preview of what I should be [PET_BOUNDARY]expecting[PET_BOUNDARY], huh?"", He said, looking over at his mother, who was simply shrugging as she turned a page in her book. ""I mean... Is she always that hyper @ @ @ @ @ @ @ @ @ @ goal for calling... For little things like that, Lee usually calls but.. Hm... Maybe she felt it was an emergency or something.. She always did confuse some inappropriate events for..."", she turns another page, then closes the book. ""Urgency."" ",0
565,"They gave him vinegar-mingled with gall-Perhaps????, commonly translated gall, signifies no more than bitters of any kind. @ @ @ @ @ @ @ @ @ @ compounded of sour wine, which is the same as vinegar, from the French vinaigre, frankincense, and myrrh, to condemned persons, to help to alleviate their sufferings, or so disturb their intellect that they might not be sensible of them. The rabbins say that they put a grain of frankincense into a cup of strong wine; and they ground this on Proverbs 31:6: Give strong drink unto him that is ready to [PET_BOUNDARY]perish[PET_BOUNDARY], i.e. who is condemned to death. Some person, out of kindness, appears to have administered this to our blessed Lord; but he, as in all other cases, determining to endure the fullness of pain, refused to take what was thus offered to him, choosing to tread the winepress alone. ",1
483,But the biggest by far is the generous work runners perform through their sport. I'm thinking of the cancer-support groups; the efforts for physically and [PET_BOUNDARY]mentally challenged[PET_BOUNDARY] individuals; prison programs; shoe-collection programs; and many more.,1
601,"If you don't plan on using your iPod touch for more than three weeks, Apple recommends that you store it with the battery charged between 50%-75% and the device completely turned off, not just [PET_BOUNDARY]put to sleep[PET_BOUNDARY]. If you store it when the battery is fully discharged, it could fall into a deep discharge state, which renders it incapable of holding any charge. ",0
1072,i am just asking you to [PET_BOUNDARY]lay off[PET_BOUNDARY] of each other.,0
838,"I have [PET_BOUNDARY]pulled the plug[PET_BOUNDARY] entirely on the little t-shirt store and project. The company was, er, shall we say, struggling with quality control and order fulfillment. All orders already made and in the pipeline should be fulfilled, but the store is no more.",0
635,"Good God. Yet every gay guy in Austin knew someone, always a friend of a friend, who definitely [PET_BOUNDARY]slept with[PET_BOUNDARY] the governor. At one party, I had one gay guy swear Perry was a top and one gay guy swear he was a bottom. ",1
105,"He turned the staff of his entire show from the meritocracy it was supposed to be into a harem of peons he assumed were only there to assuage his massive self of self-entitlement and/or his prick. He [PET_BOUNDARY]deprived[PET_BOUNDARY] women of the positions they've earned because they wouldn't sleep with him or he wouldn't want to sleep with them. He deprived men of the same, because sleeping with him was not an option, and that seemed to be the most sure-fire way of climbing the ranks quickly. ",0
963,"... had also been appointed for the purpose of ""taking him out as a potential Democratic challenger,"" I would be a great deal more concerned about Bush's judgement (than the ambassador's) in attempting to [PET_BOUNDARY]sleep with[PET_BOUNDARY] the enemy for partisan and personal gain.",1
53,"Reports of Joe Paterno's death turned out to be greatly exaggerated Saturday night. But unlike Mark Twain's famous declaration that he was still alive 115 years ago, the erroneous accounts about the former Penn State football coach's [PET_BOUNDARY]demise[PET_BOUNDARY] traveled far and wide within minutes, whipped into a firestorm by social media. ",1
920,"all clinical reports from the american academy of pediatrics automatically [PET_BOUNDARY]expire[PET_BOUNDARY] years after publication unless reaffirmed, revised, or retired at or before that time. exclusive course of treatment or serve as a standard of medical care. variations, taking into account individual circumstances, may be appropriate.",0
388,The personal trauma of this atmosphere hit home for me last week upon hearing that just such a person as the latter-- a dear friend who went to work for a local hospital from college-- was [PET_BOUNDARY]laid off[PET_BOUNDARY] after 20 years of exceedingly dedicated performance. Sue (not her real name) was a middle management poster girl for this organization.,1
137,"In order to sin you have to have a certain amount of knowledge and understanding, have a mind, have the ability to choose to do it or refrain from doing it. These things are all true of angels and humans who have the necessary mental ability (I say necessary because some human persons, babies and the mentally [PET_BOUNDARY]disabled[PET_BOUNDARY] lack the necessary mental ability to sin). ",1
771,"Breastfeeding: If you are breastfeeding, consult your healthcare professional before starting ORTHO EVRAr. Hormonal contraceptives are [PET_BOUNDARY]passed on[PET_BOUNDARY] to the child in the breast milk. A few adverse effects on the child have been reported, including yellowing of the skin (jaundice) and breast enlargement. In addition, combination hormonal contraceptives may decrease the amount and quality of your breast milk.",0
