,text,label
984,If he is not free to exactly as an arrest. His liberty is being [PET_BOUNDARY]deprived[PET_BOUNDARY] by an agent of the state.,0
606,"This guy replies with an awesome e-mail and was very cute too so I make plans to go out on a date with him. We clicked immediately and have been [PET_BOUNDARY]seeing each other[PET_BOUNDARY] since then. We have been to concerts together, spent many nights together, planned a vacation next month, I have even met his family and they love me. ",0
661,"President Obama and Mitt Romney have had some well-deserved time for reflection, but emotion is still running high from Tuesday night's election. Supporters from the Romney camp grudgingly [PET_BOUNDARY]let go[PET_BOUNDARY] as his campaign conceded Florida yesterday. Over in his 2012 headquarters in Chicago, President Obama addressed his team of bright-eyed, enthusiastic staffers -- most of them young people in their 20s and 30s -- who diligently helped seal his re-election victory.",0
612,##486410 Thoughts on deciding whether or not to tell your kids you're a [PET_BOUNDARY]sex worker[PET_BOUNDARY],1
254,"My Hubby and I are TTC and my AF should start tomorrow, buti've been having all the signs of Preg. soreness, nausea, fatigue, lower abdominal pain, since reading the first chapter of What to Expect when your [PET_BOUNDARY]Expecting[PET_BOUNDARY],i've gotten my hopes up about it, buti'm not sure if i am because it's going to be a lot harder on me with only one overy. and my AF doesn't help me either because it comes at different times every month, when should i test? Q: Too soon for pregnancy test? ",1
657,"Perhaps as many as 5,000 more people have been laid off since March, said one former employee who was [PET_BOUNDARY]let go[PET_BOUNDARY] in April.",1
1037,"love this post! your photos and narratives are amazing.i'll love to visit this cemetery. looks like a really merry place to be. i know it's sad when our love ones [PET_BOUNDARY]pass away[PET_BOUNDARY], but i believe that they head to a much better place and we should celebrate for them. **;;toolong recently posted.. santorini part : days after our tiny, skinny greek wedding",1
896,"in , health food store owner miles munroe enters the hospital for a routine gall bladder operation. when he [PET_BOUNDARY]expires[PET_BOUNDARY] on the operating table, miles' sister requests permission to cryogenically freeze her brother's body. after years, miles is unwrapped by a group of scientists and awakens to a brave new world of deadening conformity, ruled with an iron fist by a never-seen leader. (directed by woody allen) . delicatessen ()",1
263,"Alien was an ok movie and people really blow it outta proportion but maybe its cause by the time i saw it all these fanboys of the movie made the hype beyond unbearable and was completely let down. I do nt know why everyone has been [PET_BOUNDARY]expecting[PET_BOUNDARY] Ridley Scott to make some ""masterpiece"" when he has never come close to it, he just isnt THAT good of a director to make a masterpiece. Alien got its rep because at the time it was something big jut like Jaws, both movies were just fresh and startling at the time but not good films. ",0
413,"I have watched the show from the beginning and I can tell @ @ @ @ @ @ @ @ @ @ to their 15, etc. My advice is for some of the housewives to [PET_BOUNDARY]lay off[PET_BOUNDARY] the Zanax, booze, and twitter and get the help they need! And for the love of humanity, please get the housewife who sings to stop. ",0
1041,to say that my motivation for not liking christians was instead that i liked to get drunk and [PET_BOUNDARY]sleep around[PET_BOUNDARY] is insulting to the point that i can't believe a christian would say it.,1
1047,"filipkowski closed the company's california office in , bringing only his brother-in-law, the vice president of business analysis, across the country to the virginia office, and this year, he [PET_BOUNDARY]laid off[PET_BOUNDARY] another % of firetide's workforce.",1
667,"I had this whole Slim Shady concept of being two different people, having two different sides of me. One of them I was trying to [PET_BOUNDARY]let go[PET_BOUNDARY], and I looked at the mirror and smashed it. That was the whole intro of the Slim Shady EP. Slim Shady was coming to haunt me, was coming to haunt Eminem.",0
632,"I yanked myself out of his arms, kind of like a fly coming to its buzzing senses just before the Venus flytrap clamps shut. The fact that I [PET_BOUNDARY]slept with[PET_BOUNDARY] a man I had known for all of two days was already too much for me to process. Now he thought I was ready to exchange vital statistics? ",1
929,"if rule xxii is continuously in effect, and does not [PET_BOUNDARY]expire[PET_BOUNDARY], how does one come to the conclusion that it applies on january th and every day thereafter, but there's something different about january rd'how does one come to the conclusion that there is hours in which now. does anyone care to answer my question?",0
697,"The holy man quickly said, ""[PET_BOUNDARY]Let go of[PET_BOUNDARY] the legs first,"" released himself, then said, ""So be it.""",0
994,Kids [PET_BOUNDARY]deprived[PET_BOUNDARY] of education by violent schools; families destroyed by drugs and imprisonment; inadequate health coverage; the continuing danger of domestic terrorism. That's where you can get the passion.,0
637,"Calves and baby goats were sheltered in the front rooms of tiny domed three-room huts in which the Masai family lived. The other two rooms were the father's sleeping cubicle aid a smaller one for the mother, who [PET_BOUNDARY]slept with[PET_BOUNDARY] the children. Mud, grass and cow dung @ @ @ @ @ @ @ @ @ @ floor. ",0
226,"Thus scattered by the need for haste the ships steamed west: Toledo reached Pearl Harbor on the 9th and left on the 11th; the Helena group arrived on the 11th and left on the 13th; the tankers, the submarines, and the two remaining destroyers pressed on behind. For destroyers en route to the Far East the distances west of Pearl posed problems of fuel consumption: steaming at 24 knots would save a day in transit, as compared to steaming at [PET_BOUNDARY]economical[PET_BOUNDARY] speed, but would also @ @ @ @ @ @ @ @ @ @ left the coast were far behind, none was available at Pearl for forward deployment, and the facilities at Midway Island, on the direct route westward, had been deactivated in May on instructions from the Department of Defense. ",0
651,"VISION Community Services at the Massachusetts Association for the Blind provides services to people who are visually impaired. These services include a store of low vision aids and appliances, support groups, volunteer programs, Braille recording studios, and the Verizon Disability Phone Program, which provides phones to people who are legally blind, visually impaired, or [PET_BOUNDARY]hearing impaired[PET_BOUNDARY]. To learn more, call (617) 926-4232, or or visit the Web site at www.mablind.org",0
766,"Nonetheless, it's still always a good idea to wipe off cans from exposed six-packs or those dispensed from drink machines, if for no other reason than to avoid picking up something [PET_BOUNDARY]passed on[PET_BOUNDARY] by the human handlers of",0
822,"The IC report contends that the US government no longer has the military and financial resources ""to continue propping up Israel against the wishes of more than a billion of its neighbors"" and suggests that ""the US will have to follow its own national interests and [PET_BOUNDARY]pull the plug[PET_BOUNDARY] on Israel,"" Barrett said.",0
826,"The show is in its 6th (!) and allegedly final season. The decision to [PET_BOUNDARY]pull the plug[PET_BOUNDARY] had already been made before Hurricane Sandy put its own exclamation point on it, meaning -- for better or worse -- many of our final images of the Shore as it used to be will include a drunken Nicole ""Snooki"" Polizzi being hauled off the beach by cops and large men pumping their fists in a frenzy like so many spikey-haired mutants. Needless to say, that's a bit sad.",0
416,"And didn't you hear what the doctor said about why your tork is orange, cheetosdyk. Got [PET_BOUNDARY]lay off[PET_BOUNDARY] those things cheetosdyk. Tork the dork. ",0
764,Descent and the genetic differences that are heritable and [PET_BOUNDARY]passed on[PET_BOUNDARY] to the next generation;,0
89,"I @ @ @ @ @ @ @ @ @ @ to ""quickest route. "" Isn't there a highway that will take us there quicker, I thought. The Associated Press recently did a story on the [PET_BOUNDARY]demise[PET_BOUNDARY] of paper maps and atlases. Maybe we shouldn't be so quick to dismiss that "" old technology."" ",0
154,"I think these efforts are way overblown but I guess it makes Obama supporters feel productive. I understand that Team Obama has resorted to harvesting the votes of the mentally [PET_BOUNDARY]disabled[PET_BOUNDARY] in NC. Now that's ""productive,"" if you don't factor in the lawsuits filed by the families of the abused'comments... Loading comments... ",1
259,I am so frustrated! I don't know what to believe-I am 2 days late &; we've been TTC for 4 months so I really hope we are [PET_BOUNDARY]expecting[PET_BOUNDARY]! Any advice???,1
912,"copyright protection always [PET_BOUNDARY]expires[PET_BOUNDARY] at the end of the calendar year of the year it's set to expire. in other words, the last day of copyright protection for any work is december . for example, if an author of a work died on june , , protection of the works would continue through december , . the renewal trapdoor",0
340,"In ""Quality of Life,"" a 26-year-old woman begins seeing a wealthy man more than double her age, Mr. Fulger, who takes her out infrequently and presses money on her, which she takes because it ""made her life more easeful."" She dates other men her age, but can't seem to stop @ @ @ @ @ @ @ @ @ @. In the title story, the granddaughter of a [PET_BOUNDARY]late[PET_BOUNDARY], famous artist becomes involved with a young artist who may be playing her to obtain the precious notebooks bequeathed to her. Teetering on the brink of self-possession, Sneed's protagonists aren't sure they trust themselves, such as the 55-year old narrator of ""By the Way"" who can't admit to her much younger lover her fears of faltering memory and mortality. ",1
273,"Networking giant Cisco Systems (NASDAQ: CSCO) is set to release earnings after Tuesday's close on November 13, and while the company is expected to meet estimates, analysts are [PET_BOUNDARY]expecting[PET_BOUNDARY] a pessimistic outlook from company CEO John Chambers. Continued economic weakness in Europe and new threats to Cisco's technological dominance are primary drivers of the concern that has led to the stock selling off a few percent over the last five days. ",0
507,"When parents [PET_BOUNDARY]pass away[PET_BOUNDARY], fall ill or become overwhelmed, older siblings may adjust and fill the role of the guardian. Kathy Borkowski shares her experience with raising her three siblings after her parents died, and child psychologist Vicki Panaccione discusses how this relationship works on both",1
163,"Does your software collect any information about me, my listening or my surfing habits? Can it be [PET_BOUNDARY]disabled[PET_BOUNDARY]? Is it going to install some inane and unecessary ""download manager"" which will play commercials without asking me while taking up loads of my precious screen real estate? ",0
262,"Bright students are bored by material that lacks intellectual challenge and by group work that constantly sets them up as tutors to less able students. [PET_BOUNDARY]Expecting[PET_BOUNDARY] a single teacher in an elementary classroom to be all things to all students is not realistic. Therefore, i believe there should be more specialization even at the lower levels, so that the individualized lessons needed to meet all students' needs in each subject could be developed by a specialist who only prepares for his or her subject not all subjects every day. ",0
721,"The big fish must become more complex in its recognition and adaptive processes. It must recognize, identify, ad [PET_BOUNDARY]neutralize[PET_BOUNDARY] all the cultural DNA components of the little fish, just as the organism identifies, neutralizes, and becomes more intelligent in its adaptive reaction to viral DNA.",0
78,"Joe, you are free to do what ever, because God gave you free will, but do not insult our intelligence by trying to justify your blind and false kind of religion with a Jesus who does not exist in the Gospels. And BTW, friend, soon enough you will see that our America is like a train going downhill without brakes... to its [PET_BOUNDARY]demise[PET_BOUNDARY]. We wanted a different ""conductor"". ",0
